Count,Latitude,Longitude,사업장명,업태구분명
276,37.5037004,126.8750357,라이프공구상가,그 밖의 대규모점포
277,37.4981827,126.8615411,고척산업용품상가,복합쇼핑몰
278,37.5028455,126.8636455,고척스카이프라자,그 밖의 대규모점포
279,37.4859978,126.8523763,개봉제일시장,그 밖의 대규모점포
280,37.4998962,126.884113,나인스에비뉴,그 밖의 대규모점포
281,37.4951408,126.8783443,사모아종합상가,그 밖의 대규모점포
282,37.5083565,126.8919826,신도림 테크노마트,그 밖의 대규모점포
283,37.5085845,126.8888977,주식회사 현대백화점 디큐브시티,백화점
284,37.488456,126.8854431,구로시장,그 밖의 대규모점포
285,37.4970633,126.8436312,오류시장,그 밖의 대규모점포
286,37.498639,126.8619048,동국종합상가,그 밖의 대규모점포
287,37.4915027,126.8397255,홈플러스 익스프레스 서울오류점,복합쇼핑몰
288,37.4972698,126.8625548,일이삼전자타운,그 밖의 대규모점포
289,37.484694,126.8958995,이마트구로점,대형마트
290,37.4613872,126.8966657,롯데캐슬 골드파크 4차 마르쉐도르 960,그 밖의 대규모점포
291,37.4480541,126.8989858,럭키남서울상가,그 밖의 대규모점포
292,37.437625,126.9035097,시흥중앙철재상가,그 밖의 대규모점포
293,37.5008848,126.8773525,공구상가일번지관리단,복합쇼핑몰
294,37.4433312,126.9016433,시흥산업용재유통센타,그 밖의 대규모점포
295,37.4672648,126.8957177,유창상가,그 밖의 대규모점포
296,37.4546415,126.9016377,대명합동시장,그 밖의 대규모점포
297,37.4787369,126.8881257,롯데쇼핑(주) 아울렛 가산점,쇼핑센터
298,37.4582394,126.8941766,롯데캐슬 골드파크 2차 마르쉐도르,그 밖의 대규모점포
299,37.4695403,126.897297,시티렉스,쇼핑센터
300,37.4780627,126.9014189,푸른터시장,그 밖의 대규모점포
301,37.4532694,126.8976591,홈플러스 시흥점,대형마트
302,37.4686493,126.8968106,홈플러스(주) 금천점,대형마트
303,37.4433312,126.9016433,시흥산업용재유통센터,그 밖의 대규모점포
304,37.4521046,126.9082234,시흥중앙시장,그 밖의 대규모점포
305,37.4695403,126.897297,삼성테스코(주)홈플러스 금천점,대형마트
306,37.4695403,126.897297,삼성테스코(주)홈플러스 금천점,대형마트
307,37.5278725,126.8922792,코스트코 홀세일,대형마트
308,37.5201048,126.906586,영신상가,그 밖의 대규모점포
309,37.5278725,126.8922792,코스트코홀세일,그 밖의 대규모점포
310,37.5200987,126.9057478,영등포지하상가,그 밖의 대규모점포
311,37.5214745,126.9325037,한화스토아여의점,그 밖의 대규모점포
312,37.5262216,126.8995407,홍익상가,그 밖의 대규모점포
313,37.5099168,126.8980701,도림시장,그 밖의 대규모점포
314,37.5209399,126.891365,양남시장,그 밖의 대규모점포
315,37.5056986,126.9094524,신동시장,그 밖의 대규모점포
316,37.5110334,126.917173,대신시장,그 밖의 대규모점포
317,37.491793,126.9072251,대림시장,그 밖의 대규모점포
318,37.4952953,126.8980757,두암종합시장,그 밖의 대규모점포
319,37.5199833,126.8992604,영등포농축수산물쎈타,그 밖의 대규모점포
320,37.5200987,126.9057478,영등포역앞지하상가,그 밖의 대규모점포
321,37.5200987,126.9057478,영등포로타리지하상가,그 밖의 대규모점포
322,37.5171252,126.8949598,홈플러스(주) 영등포점,대형마트
323,37.5205986,126.9056647,동남시장,그 밖의 대규모점포
324,37.5180199,126.9011085,영일시장,그 밖의 대규모점포
325,37.5181719,126.9260538,신세계 이마트 여의도점,대형마트
326,37.5180156,126.9053509,타임스퀘어,쇼핑센터
327,37.4952953,126.8980757,두암상가,그 밖의 대규모점포
328,37.4937481,126.905172,썬프라자,쇼핑센터
329,37.5231898,126.8886985,영등포 중흥 에스클래스,그 밖의 대규모점포
330,37.5249782,126.9252984,아이에프씨몰(IFC Mall),복합쇼핑몰
331,37.5260497,126.928296,THE HYUNDAI SEOUL,백화점
332,37.5066658,126.9621884,해가든프라자,그 밖의 대규모점포
333,37.5000433,126.9292793,(주)이마트에브리데이 대방동점,복합쇼핑몰
334,37.499096,126.9298485,성대종합시장,그 밖의 대규모점포
335,37.4896386,126.9759403,(주)이마트에브리데이 사당동점,그 밖의 대규모점포
336,37.5122499,126.9262326,(주)홈플러스 대방점,그 밖의 대규모점포
337,37.5060041,126.9438244,(주)이마트에브리데이 상도동점,그 밖의 대규모점포
338,37.4590852,126.9442144,일성트루엘상가,그 밖의 대규모점포
339,37.4888932,126.9586862,관악쇼핑,그 밖의 대규모점포
340,37.474166,126.9660525,원당종합시장,그 밖의 대규모점포
341,37.4760244,126.9159893,(주)천성세이브마트,그 밖의 대규모점포
342,37.480314,126.9333544,타임스트림,복합쇼핑몰
343,37.4860441,126.9390018,봉일시장,그 밖의 대규모점포
344,37.4860441,126.9390018,봉일시장,그 밖의 대규모점포
345,37.4833634,126.9553324,관악프라자,쇼핑센터
346,37.4922659,126.9584734,관악현대상가,그 밖의 대규모점포
347,37.4848199,126.931015,르네상스쇼핑몰(주),복합쇼핑몰
348,37.4808595,126.9522627,라붐아울렛,복합쇼핑몰
349,37.501745,126.9871248,엘루체,그 밖의 대규모점포
350,37.4918245,127.0247203,무지개쇼핑,그 밖의 대규모점포
351,37.4890871,127.0261778,무지개종합상가,그 밖의 대규모점포
352,37.5067688,127.0088214,터미널상가,그 밖의 대규모점포
353,37.5322852,127.0283977,신사상가,그 밖의 대규모점포
354,37.5247638,127.0561166,청담삼익시장,그 밖의 대규모점포
355,37.4908388,127.0572409,그랑프리,그 밖의 대규모점포
356,37.4931481,127.0590766,청실종합상가,그 밖의 대규모점포
357,37.5019346,127.0648263,대치종합상가,그 밖의 대규모점포
358,37.4919075,127.0737057,대치1단지상가,그 밖의 대규모점포
359,37.4919075,127.0737057,대치2단지상가,그 밖의 대규모점포
360,37.5125207,127.0588194,파르나스몰(PARNAS MALL),쇼핑센터
361,37.5125207,127.0588194,코엑스 호텔아케이드,쇼핑센터
362,37.4936059,127.0597001,남서울종합시장,그 밖의 대규모점포
363,37.5164561,127.0318878,논현웰스톤상가,그 밖의 대규모점포
364,37.4889623,127.0519645,아카데미프라자,그 밖의 대규모점포
365,37.5271478,127.0334517,금강상가,그 밖의 대규모점포
366,37.5125207,127.0588194,코엑스 몰,복합쇼핑몰
367,37.499217,127.0484398,(주)이마트 역삼점,대형마트
368,37.5111387,127.0524449,삼성동 신도브래뉴 주상복합 상가,그 밖의 대규모점포
369,37.5099451,127.023674,영동전통시장,그 밖의 대규모점포
370,37.4933928,127.0673501,한보종합상가,그 밖의 대규모점포
371,37.499217,127.0484398,한솔필리아,그 밖의 대규모점포
372,37.5183123,127.0199708,강남시장,복합쇼핑몰
373,37.509849,127.0338281,논현종합시장,그 밖의 대규모점포
374,37.5193536,127.0365755,두산아케이드,그 밖의 대규모점포
375,37.4926339,127.0902837,수서1-2단지상가,그 밖의 대규모점포
376,37.5234121,127.0433302,SSG Food Market 백화점,백화점
377,37.5273339,127.0274702,(주)현대백화점 본점,백화점
378,37.5032113,127.0414917,더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),그 밖의 대규모점포
379,37.5133121,127.1037107,롯데월드몰,쇼핑센터
380,37.4978746,127.1497564,마천시장,그 밖의 대규모점포
381,37.5073076,127.0745143,프리마 쇼핑센타,그 밖의 대규모점포
382,37.501254,127.1068003,엄마손상가,그 밖의 대규모점포
383,37.4855846,127.1225635,가든파이브 라이프,그 밖의 대규모점포
384,37.5152448,127.0948683,잠실중앙상가,그 밖의 대규모점포
385,37.510211,127.1275676,올림픽파크동부센트레빌 상가,그 밖의 대규모점포
386,37.4955425,127.128118,쌍용프라자 상가,그 밖의 대규모점포
387,37.5050678,127.11454,한화 송파지점,그 밖의 대규모점포
388,37.4951823,127.1509584,송파쇼핑센타,그 밖의 대규모점포
389,37.5175612,127.1363717,올림픽프라자상가,그 밖의 대규모점포
390,37.5111034,127.0939188,갤러리아팰리스 아케이드,그 밖의 대규모점포
391,37.5029936,127.0889621,홈플러스 익스프레스 삼전역점,복합쇼핑몰
392,37.527899,127.1348472,파크프라자 상가,그 밖의 대규모점포
393,37.535804,127.1279958,이안강동주상복합상가,그 밖의 대규모점포
394,37.535822,127.1373813,강동한신휴플러스,그 밖의 대규모점포
395,37.5426874,127.1438575,동서울오네뜨상가,그 밖의 대규모점포
396,37.5382475,127.1257502,(주)이마트천호점,대형마트
397,37.5385033,127.1251119,현대백화점 천호점,백화점
398,37.5457174,127.1422509,홈플러스 강동점,대형마트
399,37.5525198,127.153496,주양쇼핑,그 밖의 대규모점포
